index	image	inferred_page	proposed_page	confidence_score	cand1_page	cand1_score	cand1_text	cand2_page	cand2_score	cand2_text
86	064-2.jpg	176	176	7.29286821396933	176	7.29286821396933	176	68	2.6017442219171407	68 Encyclia
171	143.jpg	40	40	7.294806213546238	40	7.294806213546238	40	16	2.732336768655358	16 Cranichis
378	350.jpg	222	222	7.300620146403472	222	7.300620146403472	222	29	3.0559601128210794	2. Masdevallia floribunda Lindl. in Bot. Reg. 29:
308	280.jpg	152	152	7.301589142360238	152	7.301589142360238	152	10	3.8961240261029086	2-10
70	053.jpg	165	165	7.3625969172866315	165	7.3625969172866315	165	68	2.0930232844171393	68 Encyclia
309	281.jpg	153	153	7.363178295407373	153	7.363178295407373	153	19	1.4693406663994342	2-toothed at the apex, up to 19 cm long and 4 cm
158	130.jpg	31	31	7.371899222350219	31	7.371899222350219	31	200	1.5913178685586056	4. Pelexia olivacea Rolfe in Kew Bull: 200 (1891).
376	348.jpg	220	220	7.427558135927824	220	7.427558135927824	220	82	2.383829120267861	82 Masdevallia
176	148.jpg	47	47	7.436240313789771	47	7.436240313789771	47	25	3.76186038312992	up to 25 cm long. Flowers greenish-white; pedicel-
234	206.jpg	85	85	7.441085276640607	85	7.441085276640607	85	4	1.2834303709693806	District 4
370	342.jpg	214	214	7.4605038674761746	214	7.4605038674761746	214	79	2.9651162709555035	79 Scaphyglottis
228	200.jpg	79	79	7.485658936967574	79	7.485658936967574	79	58	1.9876118407050587	34L; Photo. 58).
29	023.jpg	111	111	7.610658916755415	111	7.610658916755415	111	9	3.0486820147023423	to 9-flowered, up to 25 cm long; peduncle slender, up
221	193.jpg	76	76	7.623294587188809	76	7.623294587188809	76	32	2.6017442068432484	32 Dichaea
385	357.jpg	229	229	7.631976753037254	229	7.631976753037254	229	19	5.902325579251093	19
174	146.jpg	45	45	7.638759678339605	45	7.638759678339605	45	178	1.7773643520377678	turh. Foren. 7: 178 (1920).
299	271.jpg	144	144	7.673682155531832	144	7.673682155531832	144	59	2.743055538033645	59 Chysis
30	024.jpg	112	112	7.718255812381312	112	7.718255812381312	112	43	3.325892864884439	43 Gongora
88	065.jpg	177	177	7.738565895229141	177	7.738565895229141	177	68	2.4563953365441646	68 Encyclia
23	019.jpg	107	107	7.747286834782275	107	7.747286834782275	107	42	2.383432532476182	42 Coryanthes
114	086.jpg	293	293	7.762507173196872	293	7.762507173196872	): 293	326	6.69265288250862	: 326
154	126.jpg	25	25	7.8189922499285345	25	7.8189922499285345	25	9	1.3662790666587654	9 Lyroglossa
156	128.jpg	28	28	7.861666650721697	28	7.861666650721697	28	11	1.5116279065933602	11 Pelexia
58	045-2.jpg	130	130	7.8858914717426165	130	7.8858914717426165	130			
172	144.jpg	41	41	7.931395351486337	41	7.931395351486337	41	7	1.5	7
37	030.jpg	117	117	7.934302326535313	117	7.934302326535313	117	45	2.446364918633781	45 Stanhopea
27	022-2.jpg	110	110	7.9798837073288595	110	7.9798837073288595	110			
90	066.jpg	66	66	8.016705441013066	66	8.016705441013066	66	20	7.491279073481214	20
